shortID,siteID,basin,state,siteName,siteUse,destinationCode,destinationFlag,dataSource,usbrID,usgsID,cdssID,wyseoID,utdwrID,nmoseID,historicalRecord,decLat,decLong,dest_decLat,dest_decLong,notes,startDate,endDate,no_fill_years
35,div_0035_irrigation,cms,co,cms_co_bertholf_lanham_updike_d,irrigation,131,,CDSS,,,7200533,,,,,39.182966,-107.952645,,,,,,
36,div_0036_interbasin,cms,co,cms_co_berthoud_canal_and_reservoir_tunnel,interbasin,N/A,-1,CDSS,,,5104625,,,,,39.82716,-105.785302,,,,,,
37,div_0037_irrigation,cms,co,cms_co_biebel_ditches_nos_1&2,irrigation,102,,CDSS,,,2800515,,,,,38.53613,-106.854613,,,,,,
38,div_0038_irrigation,cms,co,cms_co_biebel_no_3_ditch,irrigation,101,,CDSS,,,5900520,,,,,38.612492,-106.926359,,,,,,
39,div_0039_irrigation,cms,co,cms_co_big_blue_ditch,irrigation,105,,CDSS,,,6200528,,,,,38.34618,-107.421904,,,,,,
40,div_0040_irrigation,cms,co,cms_co_big_ditch,irrigation,105,,CDSS,,,6200529,,,,,38.247991,-107.071438,,,,,,
41,div_0041_irrigation,cms,co,cms_co_big_lake_ditch,irrigation,121,,CDSS,,,5100529,,,,,39.970037,-106.158983,,,,,,
42,div_0042_irrigation,cms,co,cms_co_big_monitor_ditch_no_1,irrigation,111,,CDSS,,,4001426,,,,,38.499759,-108.324989,,,,,,
43,div_0043_irrigation,cms,co,cms_co_billy_sanderson_ditch,irrigation,129,,CDSS,,,2800517,,,,,38.197328,-106.839019,,,,,,
44,div_0044_irrigation,cms,co,cms_co_blickley_ditch,irrigation,122,,CDSS,,,5000526,,,,,40.076498,-106.2946,,,,,,
45,div_0045_interbasin,cms,co,cms_co_blue_river_diversion_project,interbasin,N/A,-1,CDSS,,,3604684,,,,,39.616986,-106.044239,,,daily records spotty from 1984-1988,,,
46,div_0046_irrigation,cms,co,cms_co_bluestone_valley_ditch,irrigation,98,,CDSS,,,4500969,,,,,39.382594,-108.13,,,,,,
47,div_0047_irrigation,cms,co,cms_co_bocker_ditch,irrigation,100,,CDSS,,,5900522,,,,,38.81542,-106.909449,,,,,,
48,div_0048_irrigation,cms,co,cms_co_boles_&_manney_d,irrigation,110,,CDSS,,,4100508,,,,,38.687694,-108.019854,,,,,,
